StockCode,total_orders,total_sales,maximum_sales,minimum_sales,mean_sales,median_sales,sales_figure,maximum_figure,minimum_figure,mean_figure,median_figure,cus_count,max_order_cus,mean_order_cus,median_order_cus,max_order_gap,min_order_gap
85123A,2017,33403,1930,-1930,16.560733763014376,6.0,91831.01,4921.5,-4921.5,45.52851264253842,17.700000000000003,852,32,2.3673708920187795,1.0,12,0
71053,266,1587,120,-16,5.966165413533835,4.0,5722.89,406.8,-54.24,21.51462406015038,15.0,147,25,1.8095238095238095,1.0,19,0
84406B,246,1843,128,-24,7.491869918699187,4.0,6825.93,480.0,-99.60000000000001,27.74768292682927,16.6,133,15,1.849624060150376,1.0,15,0
84029G,307,2263,108,-8,7.371335504885994,4.0,8509.17,405.0,-34.0,27.7171661237785,15.0,201,17,1.527363184079602,1.0,34,0
84029E,305,3346,408,-8,10.970491803278689,4.0,12095.28,1383.1200000000001,-34.0,39.656655737704924,17.0,218,17,1.3990825688073394,1.0,73,0
22752,292,1344,96,-96,4.602739726027397,2.0,10889.53,734.4000000000001,-734.4000000000001,37.29291095890411,17.0,180,16,1.6222222222222222,1.0,16,0
21730,121,472,18,-3,3.9008264462809916,3.0,2191.13,76.5,-14.850000000000001,18.108512396694216,14.850000000000001,79,19,1.5316455696202531,1.0,34,0
22633,432,4282,192,-12,9.912037037037036,4.0,8576.160000000002,343.68,-25.200000000000003,19.852222222222228,8.4,285,17,1.5157894736842106,1.0,87,0
22632,349,4126,192,-6,11.822349570200574,5.0,8190.070000000001,343.68,-12.600000000000001,23.467249283667623,10.5,250,18,1.396,1.0,82,0
84879,1376,34040,2880,-16,24.738372093023255,16.0,54499.76,4176.0,-27.04,39.60738372093024,27.04,667,18,2.062968515742129,1.0,12,0
22745,322,1750,60,-6,5.434782608695652,6.0,3610.15,111.0,-12.600000000000001,11.21164596273292,12.600000000000001,212,7,1.5188679245283019,1.0,14,0
22748,350,1854,60,-6,5.297142857142857,4.0,3847.61,111.0,-12.600000000000001,10.99317142857143,8.4,226,8,1.5486725663716814,1.0,13,0
22749,402,2102,144,1,5.2288557213930345,4.0,7631.33,488.16,3.75,18.983407960199006,15.0,267,7,1.5056179775280898,1.0,14,0
22310,50,521,150,1,10.42,4.5,820.37,217.5,1.65,16.4074,9.075,28,10,1.7857142857142858,1.0,99,0
84969,73,290,24,-1,3.9726027397260273,2.0,1246.74,102.0,-4.25,17.078630136986302,8.5,48,6,1.5208333333333333,1.0,41,0
22623,217,892,72,-6,4.110599078341014,3.0,4868.46,356.40000000000003,-29.700000000000003,22.435299539170508,17.85,159,12,1.3647798742138364,1.0,13,0
22622,229,1245,156,-6,5.436681222707423,2.0,12490.16,1326.0,-71.69999999999999,54.54218340611354,23.9,170,9,1.3470588235294119,1.0,16,0
21754,706,2594,36,-3,3.6742209631728047,3.0,15268.68,196.20000000000002,-17.85,21.627025495750708,17.85,358,14,1.9720670391061452,1.0,12,0
21755,570,1911,27,-3,3.3526315789473684,3.0,11311.800000000001,147.15,-17.85,19.84526315789474,17.85,333,21,1.7117117117117118,1.0,13,0
21777,5,2,4,-3,0.4,1.0,15.9,31.8,-23.85,3.18,7.95,5,1,1.0,1.0,8,0
48187,523,3674,500,-2,7.024856596558317,2.0,22605.1,2290.0,-15.9,43.22198852772466,15.9,309,14,1.692556634304207,1.0,14,0
22960,948,7712,230,-12,8.135021097046414,6.0,30834.27,1058.0,-46.75,32.525601265822786,25.5,568,23,1.6690140845070423,1.0,12,0
22913,96,320,72,-3,3.3333333333333335,1.5,1445.0400000000002,242.64000000000001,-14.850000000000001,15.052500000000002,7.425000000000001,77,5,1.2467532467532467,1.0,24,0
22912,93,264,72,-4,2.838709677419355,1.0,1193.0400000000002,242.64000000000001,-19.8,12.828387096774195,4.95,74,5,1.2567567567567568,1.0,21,0
22914,138,417,72,-2,3.0217391304347827,2.0,1925.19,242.64000000000001,-9.9,13.950652173913044,9.9,105,6,1.3142857142857143,1.0,18,0
21756,252,766,18,-2,3.0396825396825395,3.0,4580.33,99.0,-11.9,18.1759126984127,17.85,166,11,1.5180722891566265,1.0,15,0
22728,610,4830,500,-16,7.918032786885246,4.0,17657.25,1695.0,-60.0,28.946311475409836,15.0,286,14,2.132867132867133,1.0,14,0
22727,885,6164,500,-20,6.964971751412429,4.0,22453.81,1695.0,-75.0,25.371536723163842,15.0,383,30,2.3107049608355092,1.0,15,0
22726,786,5309,300,-4,6.754452926208652,4.0,19594.59,1017.0,-15.0,24.929503816793893,15.0,314,26,2.5031847133757963,2.0,47,0
21724,56,371,29,1,6.625,5.0,315.34999999999997,24.65,0.85,5.63125,4.25,42,6,1.3333333333333333,1.0,23,0
21883,92,1353,144,-1,14.706521739130435,12.0,571.7700000000001,27.36,-0.19,6.2148913043478275,7.800000000000001,81,3,1.1358024691358024,1.0,34,0
10002,49,823,120,1,16.79591836734694,12.0,699.55,102.0,0.85,14.276530612244898,10.2,40,4,1.225,1.0,20,0
21791,462,6740,360,-12,14.58874458874459,12.0,8040.13,381.6,-15.0,17.402878787878787,15.0,324,10,1.4259259259259258,1.0,16,0
21035,221,2001,200,-100,9.054298642533936,4.0,5933.13,550.0,-275.0,26.846742081447964,13.26,148,7,1.4932432432432432,1.0,16,0
22326,601,7801,240,-6,12.980033277870216,6.0,21329.030000000002,612.0,-17.700000000000003,35.48923460898503,17.700000000000003,271,25,2.217712177121771,1.0,13,0
22629,703,13460,640,-42,19.14651493598862,12.0,23888.94,1056.0,-69.3,33.98142247510668,23.4,316,25,2.2246835443037973,1.0,15,0
22659,535,10693,400,-164,19.98691588785047,4.0,18656.01,660.0,-270.59999999999997,34.87104672897196,7.8,212,18,2.5235849056603774,1.0,15,0
22631,260,3280,192,-12,12.615384615384615,12.0,5937.379999999999,316.79999999999995,-23.4,22.83607692307692,23.4,163,10,1.5950920245398772,1.0,14,0
22661,345,4983,300,-10,14.443478260869565,10.0,3941.75,216.0,-8.5,11.42536231884058,8.5,171,12,2.017543859649123,1.0,16,0
21731,516,12304,576,-126,23.844961240310077,12.0,18923.079999999998,835.1999999999999,-182.7,36.67263565891472,19.799999999999997,253,19,2.039525691699605,1.0,14,0
22900,387,4246,600,-160,10.97157622739018,5.0,12132.1,1392.0,-371.2,31.349095607235142,14.75,189,13,2.0476190476190474,1.0,14,0
21913,89,297,24,-2,3.337078651685393,3.0,1112.53,81.36,-7.5,12.500337078651684,11.25,70,7,1.2714285714285714,1.0,40,0
22540,61,2201,480,-1,36.08196721311475,24.0,868.05,172.79999999999998,-0.42,14.230327868852457,10.08,48,4,1.2708333333333333,1.0,26,0
22544,113,3781,480,-43,33.46017699115044,24.0,1490.7,172.79999999999998,-18.06,13.19203539823009,10.08,91,5,1.2417582417582418,1.0,22,0
22492,328,25589,1394,-36,78.01524390243902,36.0,15719.750000000002,766.7,-23.400000000000002,47.926067073170735,23.400000000000002,210,7,1.561904761904762,1.0,15,0
POST,1145,2882,21,-4,2.5170305676855893,2.0,63990.74,8142.75,-8142.75,55.88710917030568,36.0,370,28,3.0945945945945947,2.0,12,0
22086,925,13771,1020,-120,14.887567567567567,6.0,37644.01,2601.0,-306.0,40.69622702702703,17.700000000000003,593,14,1.5598650927487352,1.0,63,0
20679,267,1585,120,-6,5.936329588014981,3.0,8788.12,594.0,-35.7,32.91430711610487,17.85,138,11,1.934782608695652,1.0,13,0
37370,125,2485,504,-12,19.88,6.0,2807.28,534.24,-15.0,22.45824,7.5,73,15,1.7123287671232876,1.0,74,0
21871,277,4472,824,-576,16.144404332129962,6.0,5243.76,873.44,-610.5600000000001,18.930541516245487,9.899999999999999,135,21,2.051851851851852,1.0,14,0
21071,111,843,60,-6,7.594594594594595,6.0,1019.62,63.6,-6.36,9.185765765765765,7.5,72,16,1.5416666666666667,1.0,24,0
21068,126,1485,432,-36,11.785714285714286,6.0,1582.05,345.6,-38.160000000000004,12.55595238095238,6.36,81,15,1.5555555555555556,1.0,19,0
82483,544,2027,120,-46,3.7261029411764706,2.0,12739.390000000001,714.0,-273.7,23.417996323529415,13.9,237,20,2.2953586497890295,2.0,14,0
82486,573,1927,24,-24,3.363001745200698,2.0,16247.85,195.60000000000002,-195.60000000000002,28.355759162303666,17.9,233,15,2.459227467811159,1.0,13,0
82482,882,7918,324,-72,8.977324263038549,6.0,19048.51,622.0799999999999,-183.6,21.596950113378682,15.299999999999999,407,23,2.167076167076167,1.0,15,0
82494L,805,5785,144,-96,7.186335403726708,6.0,16270.7,367.2,-244.79999999999998,20.212049689440995,17.700000000000003,385,17,2.090909090909091,1.0,28,0
21258,113,341,32,-12,3.017699115044248,1.0,4042.0099999999998,350.4,-131.39999999999998,35.769999999999996,12.75,59,7,1.9152542372881356,1.0,67,0
22114,478,3378,288,-24,7.066945606694561,4.0,13976.08,1468.8,-90.0,29.23866108786611,17.0,313,11,1.5271565495207668,1.0,168,0
21733,674,7438,860,-32,11.035608308605342,5.0,21737.260000000002,2786.4,-81.6,32.251127596439176,14.75,374,12,1.8021390374331552,1.0,12,0
22386,888,19280,800,-200,21.71171171171171,10.0,35670.590000000004,1320.0,-348.0,40.169583333333335,20.8,370,20,2.4,1.0,16,0
85099C,652,12296,500,-130,18.858895705521473,10.0,22726.48,825.0,-232.70000000000002,34.856564417177914,19.5,301,17,2.166112956810631,1.0,12,0
21033,110,921,100,-1,8.372727272727273,3.0,1932.96,179.0,-1.79,17.572363636363637,6.24,75,9,1.4666666666666666,1.0,31,0
20723,503,6710,200,-20,13.339960238568588,10.0,5403.98,144.0,-17.0,10.743499005964214,8.5,230,22,2.1869565217391305,1.0,14,0
84997B,325,3912,288,-24,12.036923076923078,4.0,14688.36,976.32,-90.0,45.19495384615385,16.6,198,8,1.6414141414141414,1.0,12,0
84997C,303,3592,360,-1,11.854785478547855,4.0,13650.24,1350.0,-4.15,45.05029702970297,16.6,197,12,1.5380710659898478,1.0,20,0
21094,326,7327,288,1,22.475460122699385,12.0,5476.13,184.32,0.83,16.797944785276073,10.2,178,15,1.8314606741573034,1.0,15,0
20725,1324,16988,200,-100,12.830815709969789,10.0,26933.8,290.0,-145.0,20.34274924471299,16.5,524,35,2.5267175572519083,2.0,13,0
21559,441,3672,180,-3,8.326530612244898,6.0,8615.66,378.0,-7.6499999999999995,19.536643990929704,15.299999999999999,232,18,1.9008620689655173,1.0,16,0
22352,336,2817,120,-6,8.383928571428571,6.0,6623.58,252.0,-15.299999999999999,19.713035714285713,15.299999999999999,184,11,1.826086956521739,1.0,15,0
21212,1059,33125,1440,-72,31.2795089707271,24.0,16086.85,604.8,-30.24,15.19060434372049,13.200000000000001,629,22,1.6836248012718602,1.0,12,0
21975,558,11964,720,-24,21.440860215053764,5.5,5841.37,288.0,-13.200000000000001,10.468405017921146,3.3000000000000003,288,54,1.9375,1.0,12,0
21977,670,23946,2700,-24,35.74029850746269,24.0,11453.4,1134.0,-13.200000000000001,17.094626865671643,13.200000000000001,404,14,1.6584158415841583,1.0,14,0
