StockCode,total_orders,total_sales,maximum_sales,minimum_sales,mean_sales,median_sales,sales_figure,maximum_figure,minimum_figure,mean_figure,median_figure,cus_count,max_order_cus,mean_order_cus,median_order_cus,refund_ratio,max_order_gap,min_order_gap
10002,49,823,120,1,16.79591837,12,699.55,102,0.85,14.27653061,10.2,40,4,1.225,1,0,20,0
10080,21,291,48,1,13.85714286,12,114.41,18.72,0.39,5.448095238,4.68,19,2,1.105263158,1,0,114,0
10120,29,187,30,1,6.448275862,5,39.27,6.3,0.21,1.354137931,1.05,25,3,1.16,1,0,72,0
10125,62,1200,150,1,19.35483871,20,908.2,127.5,0.85,14.6483871,8.4,48,5,1.291666667,1,0,44,0
10133,125,2374,140,-10,18.992,20,1139.41,59.5,-4.2,9.11528,8.4,101,5,1.237623762,1,0.004194631,19,0
10135,117,1869,200,-1,15.97435897,10,1690.76,212,-1.25,14.45094017,12.3,91,10,1.285714286,1,0.000534759,29,0
11001,66,1047,384,-180,15.86363636,16,1677.35,487.68,-228.6,25.41439394,27.04,43,6,1.534883721,1,0.150162338,38,0
15030,12,141,60,1,11.75,7.5,40.89,17.4,0.29,3.4075,2.175,10,3,1.2,1,0,96,0
15034,95,5034,1200,-1200,52.98947368,24,588.77,84,-84,6.197578947,3.36,70,5,1.357142857,1,0.215765696,29,0
15036,327,21084,1200,-600,64.47706422,12,15498.92,864,-390,47.39730887,9.96,193,12,1.694300518,1,0.034084662,16,0
15039,72,1531,300,-20,21.26388889,6.5,1109.35,159,-17,15.40763889,5.525,57,7,1.263157895,1,0.01669878,46,0
16008,66,2556,288,1,38.72727273,24,320.39,34.56,0.12,4.854393939,2.88,52,12,1.269230769,1,0,58,0
16010,3,30,12,6,10,12,3.6,1.44,0.72,1.2,1.44,3,1,1,1,0,59,0
16011,46,1748,168,1,38,24,367.08,35.28,0.21,7.98,5.04,37,6,1.243243243,1,0,37,0
16012,35,1219,96,4,34.82857143,24,255.99,20.16,0.84,7.314,5.04,31,3,1.129032258,1,0,63,0
16014,52,13258,3000,1,254.9615385,20,4306.36,960,0.42,82.81461538,7.4,34,7,1.529411765,1,0,37,0
16015,24,662,273,1,27.58333333,10,289.98,98.28,0.5,12.0825,5,19,6,1.263157895,1,0,53,0
16016,60,1193,200,1,19.88333333,10,985.45,144,0.85,16.42416667,8.5,40,5,1.5,1,0,30,0
16033,4,840,480,120,210,120,100.8,57.6,14.4,25.2,14.4,4,1,1,1,0,34,0
16043,2,98,74,24,49,49,11.76,8.88,2.88,5.88,5.88,2,1,1,1,0,2,0
16045,67,8700,900,100,129.8507463,100,372,36,4,5.552238806,4,59,3,1.13559322,1,0,71,0
16046,16,67,25,1,4.1875,2,56.95,21.25,0.85,3.559375,1.7,13,2,1.230769231,1,0,61,0
16048,49,1437,144,1,29.32653061,24,186.84,17.28,0.12,3.813061224,2.88,41,3,1.195121951,1,0,102,0
16049,5,504,144,36,100.8,144,82.08,17.28,15.12,16.416,17.28,5,1,1,1,0,18,0
16052,6,467,323,24,77.83333333,24,105.29,61.37,4.56,17.54833333,10.08,5,2,1.2,1,0,102,0
16054,33,1022,108,-108,30.96969697,36,123.24,12.96,-12.96,3.734545455,4.32,28,3,1.178571429,1,0.095575221,181,0
16216,38,3206,1600,1,84.36842105,22.5,220.54,96,0.06,5.803684211,2.3,35,2,1.085714286,1,0,66,0
16218,47,3665,400,5,77.9787234,80,247.5,24,0.3,5.265957447,4.8,41,3,1.146341463,1,0,60,0
16219,46,2900,720,2,63.04347826,48,309,151.2,0.12,6.717391304,2.88,40,3,1.15,1,0,41,0
16225,65,662,192,1,10.18461538,2,547.66,80.64,1.25,8.425538462,2.5,49,7,1.326530612,1,0,63,0
16235,81,2634,600,-1,32.51851852,11,519.24,96,-0.21,6.41037037,2.52,67,4,1.208955224,1,0.000379507,31,0
16236,66,1254,112,1,19,19.5,257.74,17.92,0.21,3.905151515,4.095,54,7,1.222222222,1,0,35,0
16237,161,4337,270,-60,26.9378882,30,835.77,43.2,-12.6,5.191118012,6.3,105,11,1.533333333,1,0.013645668,22,0
16238,73,1208,112,1,16.54794521,14,252.28,17.92,0.21,3.455890411,2.94,58,9,1.25862069,1,0,36,0
16254,9,31,12,1,3.444444444,1,27.91,10.2,0.85,3.101111111,0.85,7,2,1.285714286,1,0,65,0
16259,32,3272,324,-108,102.25,108,317.92,25.92,-8.64,9.935,8.64,28,3,1.142857143,1,0.031952663,35,0
17001,1,72,72,72,72,72,20.88,20.88,20.88,20.88,20.88,1,1,1,1,0,0,0
17003,201,22669,720,-1,112.7810945,36,5693.52,230.4,-57.6,28.32597015,10.53,131,17,1.534351145,1,0.000132322,20,0
17021,56,2391,600,1,42.69642857,18,632.34,144,0.3,11.29178571,5.4,30,7,1.866666667,1,0,28,0
17038,19,1501,200,1,79,100,138.1,14,0.1,7.268421053,10,18,2,1.055555556,1,0,45,0
17096,13,2516,1728,5,193.5384615,48,443.76,293.76,1.05,34.13538462,10.08,12,2,1.083333333,1,0,53,0
17174,3,9,5,1,3,3,3.78,2.1,0.42,1.26,1.26,3,1,1,1,0,308,0
18007,18,5856,3186,1,325.3333333,24,383.76,191.16,0.18,21.32,4.32,15,2,1.2,1,0,46,0
20615,34,230,20,1,6.764705882,2,232.59,25.2,0.75,6.840882353,2.25,28,6,1.214285714,1,0,38,0
20616,24,133,48,1,5.541666667,1,122.03,36,0.75,5.084583333,2.1,18,4,1.333333333,1,0,70,0
20617,26,66,6,1,2.538461538,2,137.74,12.6,2.1,5.297692308,4.2,20,3,1.3,1,0,70,0
20618,27,67,12,1,2.481481481,1,135.78,25.2,2.1,5.028888889,2.1,19,5,1.421052632,1,0,64,0
20619,22,142,48,1,6.454545455,2,206.23,36,2.1,9.374090909,6.23,16,4,1.375,1,0,60,0
20622,33,163,48,1,4.939393939,2,240.18,36,2.1,7.278181818,4.2,24,4,1.375,1,0,42,0
20652,35,149,12,1,4.257142857,2,193.51,15,1.25,5.528857143,2.5,26,5,1.346153846,1,0,51,0
20653,5,32,12,1,6.4,6,41.21,15,1.25,8.242,7.5,5,1,1,1,0,148,0
20654,23,104,12,1,4.52173913,3,125.44,15,1.25,5.453913043,3.75,21,2,1.095238095,1,0,48,0
20655,33,88,12,1,2.666666667,2,107.86,15,1.25,3.268484848,2.5,20,8,1.65,1,0,34,0
20657,22,61,12,1,2.772727273,2,76.39,15,1.25,3.472272727,2.5,20,2,1.1,1,0,49,0
20658,62,328,40,1,5.290322581,3,410,50,1.25,6.612903226,3.75,44,3,1.409090909,1,0,32,0
20659,30,90,12,1,3,2,129.72,15,1.25,4.324,2.5,17,7,1.764705882,1,0,49,0
20661,5,9,5,1,1.8,1,35.07,14.75,2.95,7.014,5.79,3,3,1.666666667,1,0,280,0
20662,5,11,6,1,2.2,1,40.97,17.7,2.95,8.194,5.79,4,2,1.25,1,0,251,0
20663,3,3,1,1,1,1,11.69,5.79,2.95,3.896666667,2.95,3,1,1,1,0,286,0
20664,3,6,3,1,2,2,17.7,8.85,2.95,5.9,5.9,3,1,1,1,0,6,0
20665,73,340,12,1,4.657534247,6,998.2,35.4,2.95,13.6739726,17.7,58,5,1.25862069,1,0,24,0
20666,4,4,1,1,1,1,11.8,2.95,2.95,2.95,2.95,4,1,1,1,0,82,0
20667,1,1,1,1,1,1,2.95,2.95,2.95,2.95,2.95,1,1,1,1,0,0,0
20668,174,11268,864,1,64.75862069,24,1252.32,86.4,0.12,7.197241379,2.88,104,38,1.673076923,1,0,29,0
20669,47,195,24,1,4.14893617,3,243.75,30,1.25,5.186170213,3.75,36,3,1.305555556,1,0,74,0
20670,6,8,2,1,1.333333333,1,29.28,5.9,2.95,4.88,5.79,5,2,1.2,1,0,144,0
20671,2,10,8,2,5,5,12.5,10,2.5,6.25,6.25,2,1,1,1,0,4,0
20674,148,1334,72,-6,9.013513514,8,1600.31,76.32,-7.5,10.81290541,10,98,6,1.510204082,1,0.004477612,15,0
20675,224,2685,144,-8,11.98660714,8,3124.9,152.64,-10,13.95044643,10,147,8,1.523809524,1,0.004449388,21,0
20676,297,4252,144,-12,14.31649832,8,4907.02,152.64,-15,16.52195286,10,179,11,1.659217877,1,0.005147403,15,0
20677,218,3015,144,-5,13.83027523,8,3475.05,152.64,-6.25,15.94059633,10,131,8,1.664122137,1,0.001655629,12,0
20678,1,4,4,4,4,4,6.6,6.6,6.6,6.6,6.6,1,1,1,1,0,0,0
20679,267,1585,120,-6,5.936329588,3,8788.12,594,-35.7,32.91430712,17.85,138,11,1.934782609,1,0.005646173,13,0
20681,36,123,12,-1,3.416666667,2,399.75,39,-3.25,11.10416667,6.5,30,4,1.2,1,0.016,25,0
20682,181,1042,60,-1,5.756906077,6,3337.78,165,-3.25,18.44077348,19.5,134,6,1.350746269,1,0.004775549,16,0
20684,33,78,6,1,2.363636364,1,253.5,19.5,3.25,7.681818182,3.25,30,2,1.1,1,0,32,0
20685,568,3751,300,-24,6.603873239,2,24313.83,1374,-169.92,42.80603873,15.9,323,15,1.758513932,1,0.017291066,14,0
20686,63,253,24,1,4.015873016,2,825.63,78,3.25,13.1052381,6.63,50,3,1.26,1,0,28,0
20694,11,36,8,1,3.272727273,4,135,30,3.75,12.27272727,15,9,2,1.222222222,1,0,98,0
20695,4,5,2,1,1.25,1,21.25,8.5,4.25,5.3125,4.25,4,1,1,1,0,180,0
20696,10,32,8,1,3.2,3,120,30,3.75,12,11.25,10,1,1,1,0,115,0
20697,11,19,3,1,1.727272727,2,48.45,7.65,2.55,4.404545455,5.1,8,3,1.375,1,0,121,0
20698,8,16,3,1,2,2,40.8,7.65,2.55,5.1,5.1,7,2,1.142857143,1,0,121,0
20699,10,28,6,1,2.8,2,71.4,15.3,2.55,7.14,5.1,10,1,1,1,0,112,0
20700,4,10,4,1,2.5,2.5,37.5,15,3.75,9.375,9.375,4,1,1,1,0,136,0
20701,3,6,4,1,2,1,22.5,15,3.75,7.5,3.75,3,1,1,1,0,166,0
20702,41,128,12,1,3.12195122,3,544,51,4.25,13.26829268,12.75,31,3,1.322580645,1,0,43,0
20703,4,-6,1,-3,-1.5,-2,-25.5,4.25,-12.75,-6.375,-8.5,3,2,1.333333333,1,7,127,0
20704,36,171,24,-4,4.75,2,508.45,46.8,-27.8,14.12361111,13.9,34,2,1.058823529,1,0.022857143,34,0
20705,26,129,24,-1,4.961538462,2,381.55,46.8,-1.95,14.675,13.9,24,3,1.083333333,1,0.007692308,43,0
20707,31,153,24,-1,4.935483871,2,191.81,25.44,-1.25,6.187419355,2.5,20,7,1.55,1,0.006493506,52,0
20711,254,4176,600,-10,16.44094488,10,7648.97,990,-19.5,30.11405512,19.5,152,12,1.671052632,1,0.005240591,13,0
20712,493,7858,300,-200,15.93914807,10,14897.97,585,-348,30.21900609,20.8,240,16,2.054166667,1,0.029636947,12,0
20713,407,9752,700,-100,23.96068796,10,17759.46,1155,-179,43.63503686,19.5,200,14,2.035,1,0.024312156,72,0
20716,35,314,100,1,8.971428571,4,373.5,106,1.25,10.67142857,5,31,2,1.129032258,1,0,24,0
20717,232,2019,100,-10,8.702586207,5,2434.63,106,-12.5,10.49409483,6.25,150,9,1.546666667,1,0.004928536,18,0
20718,375,3937,100,-10,10.49866667,10,4745.32,106,-12.5,12.65418667,12.5,231,10,1.623376623,1,0.006059076,18,0
20719,539,8886,300,-30,16.48608534,10,6999.69,216,-25.5,12.98643785,8.5,236,28,2.283898305,1,0.01244721,13,0
20723,503,6710,200,-20,13.33996024,10,5403.98,144,-17,10.74349901,8.5,230,22,2.186956522,1,0.011053795,14,0
20724,747,12206,300,-100,16.34002677,10,9657.76,216,-72,12.92872825,8.5,331,31,2.256797583,1,0.01794191,13,0
20725,1324,16988,200,-100,12.83081571,10,26933.8,290,-145,20.34274924,16.5,524,35,2.526717557,2,0.031470924,13,0
20726,837,8863,200,-40,10.58900836,10,14121.71,290,-66,16.87181601,16.5,365,20,2.293150685,2,0.009167132,14,0
20727,1086,10913,200,-38,10.04880295,10,17419.45,290,-55.1,16.04000921,16.5,453,36,2.397350993,2,0.010517726,15,0
20728,996,10521,200,-112,10.56325301,10,16797.93,290,-162.4,16.86539157,16.5,476,33,2.092436975,1,0.019934793,14,0
